0.833556	0.839767	0.872229	0.904887	0.925513	0.936845	0.940869	0.931302	0.938575	0.942766	0.975851	1.016004	1.059854	1.100007	1.133205
0.776097	0.818409	0.855448	0.882953	0.900775	0.904986	0.901205	0.902344	0.913047	0.950931	0.987036	1.019921	1.060369	1.094563	1.123053
0.703697	0.747070	0.793202	0.824215	0.843992	0.855151	0.858500	0.875073	0.883668	0.900360	0.952341	1.001749	1.043998	1.079519	1.108817
0.900135	0.921278	0.937024	0.944663	0.944357	0.933152	0.943048	0.953818	0.994724	1.035399	1.079394	1.116176	1.146316	1.170463	1.189292
0.765315	0.811982	0.854780	0.886542	0.906821	0.917734	0.921316	0.915474	0.926984	0.930817	0.963463	1.010677	1.057477	1.096773	1.129155
0.791564	0.820251	0.843886	0.857973	0.864248	0.864256	0.877571	0.915381	0.951330	0.982693	1.011756	1.045997	1.077663	1.104390	1.126555
0.811714	0.841369	0.863713	0.877227	0.883196	0.886478	0.898328	0.903746	0.935654	0.988442	1.034984	1.074296	1.107055	1.133677	1.154735
0.762563	0.802319	0.833781	0.854276	0.866415	0.864428	0.875981	0.885624	0.913166	0.951641	0.998731	1.040075	1.075145	1.104356	1.128195
0.790257	0.832154	0.864291	0.884658	0.896007	0.898396	0.899018	0.909453	0.920004	0.960724	1.007749	1.051851	1.088959	1.119790	1.144777
0.811938	0.856304	0.893992	0.918148	0.931771	0.937220	0.936260	0.939173	0.944760	0.946073	0.994817	1.043647	1.088255	1.125227	1.155191
0.826912	0.865273	0.894885	0.912377	0.916179	0.912861	0.911318	0.922582	0.961011	0.997096	1.027544	1.066506	1.100987	1.129586	1.152939
0.815668	0.864168	0.908224	0.938668	0.957402	0.967034	0.965700	0.953853	0.955092	0.962990	1.004432	1.039583	1.076153	1.114908	1.146908
0.778851	0.830161	0.873027	0.901735	0.919384	0.928494	0.924276	0.919425	0.929814	0.951316	0.990346	1.027554	1.070400	1.106374	1.136007
0.804843	0.840922	0.866242	0.879600	0.883937	0.883068	0.900780	0.940977	0.976272	1.006775	1.036722	1.072299	1.102374	1.127461	1.147863
0.803489	0.823418	0.845090	0.876260	0.911741	0.942446	0.970484	0.995613	1.017455	1.040670	1.068311	1.093151	1.114176	1.131647	1.145835
0.802589	0.833026	0.855795	0.869698	0.870008	0.875108	0.887253	0.908018	0.947054	0.990390	1.033174	1.069663	1.100185	1.125221	1.145269
0.881313	0.909259	0.929309	0.934485	0.932173	0.924156	0.932314	0.963280	1.000650	1.032640	1.062490	1.098885	1.129237	1.154020	1.173878
0.876939	0.894659	0.905930	0.906556	0.905580	0.916479	0.927949	0.968459	1.011497	1.055928	1.093311	1.124247	1.149399	1.169159	1.184104
0.755113	0.791053	0.842008	0.876145	0.897098	0.907747	0.910418	0.906810	0.931251	0.970708	1.004229	1.033183	1.057474	1.085269	1.114680
0.787869	0.819089	0.842611	0.856995	0.863810	0.873724	0.884904	0.890964	0.926507	0.980460	1.026691	1.065902	1.098493	1.125025	1.146065
0.780601	0.825922	0.859333	0.878847	0.887860	0.888879	0.890477	0.907713	0.947783	0.982782	1.012711	1.047499	1.082037	1.111086	1.135110
